timestamp_of_crash,state_name,manner_of_collision_name,latitude,longitude,manner_of_collision_name_1,atmospheric_conditions_name,light_condition_name,hit_and_run,body_type_name,vehicle_model_year,driver_distracted_by_name,person_type_name,injury_severity_name,first_harmful_event_name,seating_position_name,age,sex,police_reported_alcohol_involvement,died_at_scene_en_route,police_reported_drug_involvement
2015-10-03T22:48:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",42.47245833,-91.88976111,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Dark – Unknown Lighting,No / No Hit-and-Run,4-Door Sedan/Hardtop,1995,Unknown if Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Parked Motor Vehicle (Not In Transport),Front Seat – Left Side (Driver's Side),56,Male,Yes (Alcohol Involved),Not Applicable,Yes (Drugs Involved)
2015-07-26T04:35:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",41.64293889,-91.06831944,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Not Lighted,No / No Hit-and-Run,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",2013,Unknown if Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Parked Motor Vehicle (Not In Transport),Front Seat – Left Side (Driver's Side),20,Male,Yes (Alcohol Involved),Died at Scene,No (Drugs Not Involved)
2015-07-26T04:35:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",41.64293889,-91.06831944,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Not Lighted,No / No Hit-and-Run,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",2013,Unknown if Distracted,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),Parked Motor Vehicle (Not In Transport),Front Seat – Right Side,19,Male,Not Reported,Died at Scene,Not Reported
2015-06-06T22:43:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",42.94555556,-95.33841944,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Rain,Dark – Not Lighted,No / No Hit-and-Run,4-Door Sedan/Hardtop,2006,Not Distracted,Driver of a Motor Vehicle In-Transport,Suspected Minor Injury (B),Parked Motor Vehicle (Not In Transport),Front Seat – Left Side (Driver's Side),16,Male,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-06-06T22:43:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",42.94555556,-95.33841944,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Rain,Dark – Not Lighted,No / No Hit-and-Run,4-Door Sedan/Hardtop,2006,Not Distracted,Pedestrian,Fatal Injury (K),Parked Motor Vehicle (Not In Transport),Not a Motor Vehicle Occupant (2005-Later),37,Male,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
2015-06-06T22:43:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",42.94555556,-95.33841944,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Rain,Dark – Not Lighted,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2001,Not Distracted,Driver of a Motor Vehicle In-Transport,Suspected Minor Injury (B),Parked Motor Vehicle (Not In Transport),Front Seat – Left Side (Driver's Side),16,Male,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-06-06T22:43:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",42.94555556,-95.33841944,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Rain,Dark – Not Lighted,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2001,Not Distracted,Pedestrian,Fatal Injury (K),Parked Motor Vehicle (Not In Transport),Not a Motor Vehicle Occupant (2005-Later),37,Male,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
2015-10-05T02:29:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",41.54071389,-90.57078889,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Dark – Lighted,No / No Hit-and-Run,4-Door Sedan/Hardtop,2012,Unknown if Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Curb,Front Seat – Left Side (Driver's Side),20,Male,Yes (Alcohol Involved),Not Applicable,No (Drugs Not Involved)
2015-01-03T01:00:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",42.53203333,-96.38986111,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Dark – Lighted,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2003,Unknown if Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Mail Box,Front Seat – Left Side (Driver's Side),43,Male,Yes (Alcohol Involved),Died at Scene,Yes (Drugs Involved)
2015-01-03T01:00:00Z,Iowa,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",42.53203333,-96.38986111,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Dark – Lighted,No / No Hit-and-Run,Standard Pickup,1999,Unknown if Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Mail Box,Front Seat – Left Side (Driver's Side),43,Male,Yes (Alcohol Involved),Died at Scene,Yes (Drugs Involved)
2015-02-08T21:37:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.14870833,-84.71739167,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Not Lighted,No / No Hit-and-Run,5-Door/4-Door Hatchback,2003,Not Distracted,Driver of a Motor Vehicle In-Transport,No Apparent Injury (O),Pedestrian,Front Seat – Left Side (Driver's Side),40,Female,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-02-08T21:37:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.14870833,-84.71739167,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Not Lighted,No / No Hit-and-Run,5-Door/4-Door Hatchback,2003,Not Distracted,Driver of a Motor Vehicle In-Transport,Possible Injury (C),Pedestrian,Front Seat – Left Side (Driver's Side),50,Male,Yes (Alcohol Involved),Not Applicable,No (Drugs Not Involved)
2015-02-08T21:37:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.14870833,-84.71739167,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Not Lighted,No / No Hit-and-Run,5-Door/4-Door Hatchback,2003,Not Distracted,Pedestrian,Fatal Injury (K),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),47,Female,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
2015-02-08T21:37:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.14870833,-84.71739167,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Not Lighted,No / No Hit-and-Run,5-Door/4-Door Hatchback,2003,Not Distracted,Occupant of a Motor Vehicle Not In-Transport,Fatal Injury (K),Pedestrian,Second Seat – Left Side,49,Male,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
2015-02-08T21:37:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.14870833,-84.71739167,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Not Lighted,No / No Hit-and-Run,5-Door/4-Door Hatchback,2003,Not Distracted,Driver of a Motor Vehicle In-Transport,No Apparent Injury (O),Pedestrian,Front Seat – Left Side (Driver's Side),40,Female,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-02-08T21:37:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.14870833,-84.71739167,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Not Lighted,No / No Hit-and-Run,5-Door/4-Door Hatchback,2003,Not Distracted,Driver of a Motor Vehicle In-Transport,Possible Injury (C),Pedestrian,Front Seat – Left Side (Driver's Side),50,Male,Yes (Alcohol Involved),Not Applicable,No (Drugs Not Involved)
2015-02-08T21:37:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.14870833,-84.71739167,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Not Lighted,No / No Hit-and-Run,5-Door/4-Door Hatchback,2003,Not Distracted,Pedestrian,Fatal Injury (K),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),47,Female,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
2015-02-08T21:37:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.14870833,-84.71739167,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Not Lighted,No / No Hit-and-Run,5-Door/4-Door Hatchback,2003,Not Distracted,Occupant of a Motor Vehicle Not In-Transport,Fatal Injury (K),Pedestrian,Second Seat – Left Side,49,Male,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
2015-02-21T02:23:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",39.95364722,-82.95991389,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Lighted,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2013,Not Distracted,Occupant of a Motor Vehicle Not In-Transport,Suspected Minor Injury (B),Pedestrian,Front Seat – Right Side,51,Female,Not Reported,Not Applicable,Not Reported
2015-02-21T02:23:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",39.95364722,-82.95991389,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Lighted,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2013,Not Distracted,Pedestrian,Suspected Serious Injury (A),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),50,Male,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-02-21T02:23:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",39.95364722,-82.95991389,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Lighted,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2013,Not Distracted,Driver of a Motor Vehicle In-Transport,Suspected Serious Injury (A),Pedestrian,Front Seat – Left Side (Driver's Side),25,Male,Yes (Alcohol Involved),Not Applicable,Yes (Drugs Involved)
2015-02-21T02:23:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",39.95364722,-82.95991389,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Dark – Lighted,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2013,Not Distracted,Pedestrian,Fatal Injury (K),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),57,Female,Yes (Alcohol Involved),Not Applicable,Yes (Drugs Involved)
2015-06-03T04:37:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",41.53694444,-83.49138889,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Dark – Not Lighted,No / No Hit-and-Run,Standard Pickup,2001,Unknown if Distracted,Pedestrian,Fatal Injury (K),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),56,Male,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
2015-01-06T12:55:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",41.47478056,-81.69004722,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Daylight,No / No Hit-and-Run,4-Door Sedan/Hardtop,2007,Not Distracted,Driver of a Motor Vehicle In-Transport,Suspected Minor Injury (B),Pedestrian,Front Seat – Left Side (Driver's Side),21,Female,Yes (Alcohol Involved),Not Applicable,No (Drugs Not Involved)
2015-01-06T12:55:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",41.47478056,-81.69004722,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Daylight,No / No Hit-and-Run,4-Door Sedan/Hardtop,2007,Not Distracted,Pedestrian,Fatal Injury (K),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),62,Female,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
2015-03-02T09:04:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.764575,-82.53811667,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Daylight,No / No Hit-and-Run,2-Door Sedan/Hardtop/Coupe,2003,Not Distracted,Driver of a Motor Vehicle In-Transport,No Apparent Injury (O),Pedestrian,Front Seat – Left Side (Driver's Side),37,Female,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-03-02T09:04:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.764575,-82.53811667,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Daylight,No / No Hit-and-Run,2-Door Sedan/Hardtop/Coupe,2003,Not Distracted,Pedestrian,Suspected Minor Injury (B),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),44,Female,Not Reported,Not Applicable,Not Reported
2015-03-02T09:04:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.764575,-82.53811667,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Daylight,No / No Hit-and-Run,2-Door Sedan/Hardtop/Coupe,2003,Not Distracted,Pedestrian,Suspected Minor Injury (B),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),38,Female,Not Reported,Not Applicable,Not Reported
2015-03-02T09:04:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.764575,-82.53811667,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Daylight,No / No Hit-and-Run,2-Door Sedan/Hardtop/Coupe,2003,Not Distracted,Pedestrian,Fatal Injury (K),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),44,Male,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
2015-03-03T03:30:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",39.95614444,-83.37196667,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Dark – Not Lighted,No / No Hit-and-Run,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",2010,Unknown if Distracted,Pedestrian,Suspected Serious Injury (A),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),30,Male,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-03-03T03:30:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",39.95614444,-83.37196667,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Clear,Dark – Not Lighted,No / No Hit-and-Run,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",2010,Unknown if Distracted,Pedestrian,Fatal Injury (K),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),29,Male,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
2015-02-21T17:02:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",39.83309167,-84.29202222,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Daylight,No / No Hit-and-Run,2-Door Sedan/Hardtop/Coupe,2001,Not Distracted,Driver of a Motor Vehicle In-Transport,No Apparent Injury (O),Pedestrian,Front Seat – Left Side (Driver's Side),25,Male,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-02-21T17:02:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",39.83309167,-84.29202222,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Cloudy,Daylight,No / No Hit-and-Run,2-Door Sedan/Hardtop/Coupe,2001,Not Distracted,Pedestrian,Fatal Injury (K),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),21,Male,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-12-01T15:07:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.01113889,-82.96895,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Rain,Daylight,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2000,Not Distracted,Driver of a Motor Vehicle In-Transport,No Apparent Injury (O),Pedestrian,Front Seat – Left Side (Driver's Side),27,Female,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-12-01T15:07:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.01113889,-82.96895,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Rain,Daylight,No / No Hit-and-Run,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),2000,Not Distracted,Pedestrian,Fatal Injury (K),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),59,Female,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
2015-12-01T15:07:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.01113889,-82.96895,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Rain,Daylight,No / No Hit-and-Run,Minivan,2005,Not Distracted,Driver of a Motor Vehicle In-Transport,No Apparent Injury (O),Pedestrian,Front Seat – Left Side (Driver's Side),27,Female,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-12-01T15:07:00Z,Ohio,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",40.01113889,-82.96895,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",Rain,Daylight,No / No Hit-and-Run,Minivan,2005,Not Distracted,Pedestrian,Fatal Injury (K),Pedestrian,Not a Motor Vehicle Occupant (2005-Later),59,Female,No (Alcohol Not Involved),Died at Scene,No (Drugs Not Involved)
2015-02-27T17:45:00Z,Ohio,Angle,40.86724167,-82.51333889,Angle,Clear,Daylight,No / No Hit-and-Run,Standard Pickup,2007,Not Distracted,Driver of a Motor Vehicle In-Transport,Suspected Minor Injury (B),Motor Vehicle in Transport,Front Seat – Left Side (Driver's Side),44,Male,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-02-27T17:45:00Z,Ohio,Angle,40.86724167,-82.51333889,Angle,Clear,Daylight,No / No Hit-and-Run,Standard Pickup,2007,Not Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Motor Vehicle in Transport,Front Seat – Left Side (Driver's Side),25,Female,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-02-27T17:45:00Z,Ohio,Angle,40.86724167,-82.51333889,Angle,Clear,Daylight,No / No Hit-and-Run,Standard Pickup,2007,Not Distracted,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),Motor Vehicle in Transport,Front Seat – Right Side,39,Male,Not Reported,Died at Scene,Not Reported
2015-02-27T17:45:00Z,Ohio,Angle,40.86724167,-82.51333889,Angle,Clear,Daylight,No / No Hit-and-Run,Standard Pickup,2007,Not Distracted,Driver of a Motor Vehicle In-Transport,Suspected Minor Injury (B),Motor Vehicle in Transport,Front Seat – Left Side (Driver's Side),44,Male,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
2015-02-27T17:45:00Z,Ohio,Angle,40.86724167,-82.51333889,Angle,Clear,Daylight,No / No Hit-and-Run,Standard Pickup,2007,Not Distracted,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),Motor Vehicle in Transport,Front Seat – Left Side (Driver's Side),25,Female,No (Alcohol Not Involved),Not Applicable,No (Drugs Not Involved)
